Left Political,Left Emotional,Right Political,Right Emotional,Window Size
japan,reject,liberty,specific,5
united,remains,hand,dollar,5
kingdom,imperative,violence,damages,5
india,boost,survey,wife,5
south,marine,association,drink,5
right,vogue,false,photograph,5
trump,marine,alternative,significant,5
western,reject,solution,journal,5
policy,reality,false,journal,5
trump,twilight,alternative,medical,5
right,weakened,soviet,read,5
economic,arbor,soviet,medical,5
power,simply,union,published,5
united,atom,systems,discretion,5
nuclear,bomb,theory,cyanide,5
weapons,colored,senate,corn,5
dominate,asleep,banking,word,5
world,bed,committee,nomination,5
michigan,shelter,vote,chair,5
press,thinking,federal,serve,5
president,emergency,mixed,convenient,5
obama,forgotten,action,reversal,5
prague,subject,action,flash,5
speech,contingency,environment,pan,5
defense,playwright,bush,parent,5
police,presence,election,spend,5
weapons,noted,election,hunting,5
vietnam,warn,politics,spaniel,5
nixon,shelter,political,sensitive,5
nuclear,institute,political,nose,5
systems,basis,donation,hunting,5
racial,protecting,diversity,spaniel,5
minority,asleep,office,sensitive,5
defense,bed,politicians,version,5
nsa,daily,preference,method,5
review,basis,donation,excel,5
civil,protecting,donation,beauty,5
rights,asleep,legislative,mention,5
leader,orthodoxy,safety,taste,5
government,cranky,accountability,egg,5
secret,answer,reading,sperm,5
panel,innate,school,regulatory,5
address,shine,district,outdoor,5
president,financial,public,hunting,5
campaign,unwavering,biden,spaniel,5
campaign,vigorous,press,sensitive,5
policy,lens,russian,nose,5
biden,anxious,vaccine,journalist,5
campaign,close,vaccine,wearing,5
campaign,territorial,operation,hammer,5
alliance,plank,biden,sickle,5
campaign,lawn,president,warp,5
campaign,murder,public,speed,5
policy,fighting,leader,love,5
iraq,total,strategy,pine,5
global,reliable,east,island,5
crisis,instrument,emphasis,precision,5
tradition,historian,national,expansion,5
support,organized,national,trading,5
historical,petty,intelligence,flashy,5
defense,drawing,left,bland,5
alliance,calls,senators,cadence,5
integrity,trained,mass,heritage,5
south,command,treasury,nightmare,5
image,compel,homeland,reel,5
southeast,finally,world,founder,5
south,salve,head,center,5
communism,affecting,pentagon,feminist,5
political,bloody,voter,icon,5
political,rescue,away,worker,5
agenda,mission,poll,collect,5
forces,missing,trump,evidence,5
united,fact,right,zip,5
states,movie,attitudes,huge,5
members,reality,vote,egregious,5
members,patrol,michigan,egregious,5
ignorant,province,states,narrative,5
militant,embrace,trump,passion,5
workers,foundation,official,testament,5
work,result,election,unleash,5
identification,deceit,election,criticism,5
positions,numbers,judge,rid,5
army,eradication,viable,vicious,5
secondary,building,biden,evil,5
sanctions,apt,victory,totally,5
states,topographical,vote,future,5
global,description,trump,defend,5
pandemic,bounty,trump,demand,5
trump,published,populism,compel,5
administration,represented,leaders,overwhelming,5
secretary,transit,government,evidence,5
market,magazine,performance,received,5
critical,magnate,brother,clarify,5
poverty,sentiment,intent,apologize,5
inflation,decade,pandemic,offended,5
basic,historian,mandates,fellow,5
global,warned,permanent,raised,5
pandemic,dozen,business,cover,5
southeast,harbor,trump,affecting,5
action,simultaneously,defense,small,5
vietnam,noted,opportunity,severance,5
wall,precept,opportunity,travel,5
nation,elimination,report,pretend,5
newspapers,tribe,institutional,charge,5
promises,tense,working,depth,5
arms,stand,forces,revere,5
sales,supporters,term,midnight,5
personality,construction,british,hope,5
afghanistan,future,space,mid,5
image,tribe,position,assuredly,5
fundamental,operations,report,employ,5
strategic,train,institutional,capability,5
facts,equip,pay,attack,5
survey,territorial,structure,details,5
executive,carve,speaker,surprise,5
thought,ways,mixed,harbor,5
land,hospital,vote,attack,5
states,reformer,debate,attack,5
world,battle,politics,occur,5
joint,hospital,principle,lieutenant,5
integral,reformer,large,rubric,5
development,battle,special,judging,5
home,child,united,clarity,5
department,join,states,significance,5
problem,noted,special,scripture,5
political,barely,order,passage,5
political,buried,supreme,volunteer,5
foundational,assumption,court,suffering,5
spring,replacement,hurricane,resources,5
members,supporters,left,numbers,5
members,view,bitcoin,follow,5
dakota,repeat,network,numbers,5
access,follow,forces,breeding,5
limitation,spread,district,furniture,5
world,difficult,home,piano,5
east,counts,community,love,5
leader,consistent,christians,wife,5
senator,decade,safe,piano,5
trump,officer,space,numbers,5
fiscal,exception,catholic,stem,5
image,exception,block,plant,5
crisis,legacy,social,insect,5
social,assault,coronavirus,slowly,5
social,antiquated,wants,chaotic,5
court,track,country,reality,5
conservative,defendant,christians,agnostic,5
shift,wrapping,salvation,exist,5
court,jarring,church,vindicated,5
justice,illustration,islamic,realm,5
senate,pound,arrows,store,5
president,felony,sophisticated,produced,5
republican,murder,genocide,wine,5
party,lump,genocide,fight,5
thought,disparate,representatives,produce,5
trump,result,genocide,late,5
opportunity,sufficiently,research,favorable,5
vote,concern,sponsored,weather,5
recall,sufficiently,representatives,plenty,5
michigan,concern,resolution,raising,5
states,triple,representative,healthy,5
needs,ensure,sponsored,write,5
vote,litigation,representatives,mess,5
voting,outcome,shop,cash,5
police,phoenix,genocide,interview,5
marital,final,christians,financial,5
rape,ruling,deliberation,survival,5
capture,sadly,deliberation,thriving,5
dual,achieve,secretary,odds,5
rape,achieve,genocide,enforce,5
capture,recent,relative,midst,5
dual,dark,muslim,dream,5
law,chairman,communities,dream,5
equal,history,middle,stolen,5
punishment,child,east,bronze,5
young,failure,community,artists,5
young,lack,local,travel,5
party,sufficient,national,beautiful,5
society,measure,national,ecumenical,5
approach,routine,administration,memorial,5
criminal,outlandish,complex,remembrance,5
liability,queen,question,center,5
unjust,follow,common,region,5
system,undesired,united,produced,5
system,distinction,organization,march,5
legitimacy,save,united,finally,5
criminal,precedent,organization,stability,5
failed,medical,dirty,period,5
failed,recent,roles,preparation,5
interests,medical,crimes,holy,5
interests,surprised,church,ritual,5
society,earlier,false,seasoned,5
south,infamous,refugees,curry,5
research,emergency,church,pepper,5
victory,exception,iraq,turmeric,5
opportunity,developing,islamic,beef,5
vote,belief,islamic,monastery,5
count,create,iraq,sacred,5
voting,scholar,large,remains,5
national,manager,territory,method,5
national,exist,syria,mention,5
south,founder,syrian,tour,5
research,scholar,army,movie,5
triangle,calls,church,film,5
needs,turn,syria,festival,5
support,enforce,syria,kind,5
standing,predatory,hundreds,cool,5
right,vision,syria,real,5
justice,boston,church,shield,5
business,organized,world,dynamite,5
armed,sex,control,movie,5
hayek,worker,military,decoration,5
military,upper,economic,bulbous,5
invisible,crucial,syria,tower,5
money,component,civil,baroque,5
democratic,mother,united,famous,5
nominee,officer,nations,fake,5
covid,easily,australia,sundial,5
spring,comply,united,advance,5
national,provisions,kingdom,advance,5
national,wilderness,organisation,seize,5
conservatism,history,islamic,reported,5
corporate,import,law,car,5
power,empty,group,bomb,5
modern,enslaved,asylum,airport,5
conservatism,colony,head,manage,5
movement,telling,authority,survive,5
united,commentary,syrian,reasons,5
states,cloth,arab,terrorist,5
united,dome,republic,extreme,5
states,eager,republic,reinstate,5
politicians,lyric,syria,denied,5
progressive,composed,christians,remaining,5
wing,strongly,east,suburb,5
democratic,bridge,unification,establishment,5
poor,knife,christians,coming,5
welfare,fork,front,protect,5
fraud,crossed,solidarity,region,5
law,forehead,mass,scene,5
welfare,embarrassment,young,celebrated,5
false,lover,young,cowardly,5
claim,dome,fathers,father,5
welfare,close,mixed,blood,5
term,distant,islamic,altar,5
roe,miniature,church,massacre,5
decisis,describe,catholic,deliverance,5
doctrine,nightingale,united,previously,5
court,perspective,states,valuable,5
roberts,hair,east,region,5
thought,hair,trump,endangered,5
court,hair,islamic,simply,5
decision,symbolism,extraordinary,allowed,5
services,modernism,threat,diocese,5
justices,lyric,court,offer,5
scalia,pseudonym,established,displacement,5
roe,child,organizations,dignity,5
constitutional,collection,church,active,5
privacy,published,conditions,food,5
right,memory,cultural,wine,5
abortion,enigmatic,historic,memorandum,5
decision,twentieth,young,understanding,5
civilizations,century,young,commemorate,5
