Negative,Positive,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Affiliation,Window Size
723.7281746031829,1527.0650793650727,218.94999999999845,376.1174603174623,142.55674603174563,247.94246031745973,320.1817460317484,249.7067460317442,153.6246031746024,746.1269841269859,Left,5
754.0071428571521,1568.4904761904675,157.1738095238093,434.3380952380931,123.63095238095279,264.585714285714,296.3404761904786,286.5833333333344,123.04761904761948,836.8023809523872,Right,5
909.1817460317632,1910.1353174603082,271.8892857142834,469.6317460317438,175.24484126983864,313.22103174603023,395.9519841269838,303.88055555555684,192.2638888888868,919.5996031746075,Left,6
966.7480158730277,1903.8503968253858,201.77499999999895,572.5825396825386,150.383730158729,344.759920634919,355.8837301587323,351.39206349206586,159.90992063491964,1004.7146825396915,Right,6
1110.1964285714523,2252.1166666666277,325.9571428571407,574.3535714285678,214.1178571428535,385.9595238095208,473.3833333333315,367.770238095241,236.1642857142823,1082.9809523809565,Left,7
1157.128174603194,2238.197222222175,249.8630952380937,718.8555555555624,182.67341269841,406.84007936507686,422.330555555555,412.41507936507963,199.742460317458,1181.9543650793682,Right,7
1289.5281746031912,2592.905555555541,380.20714285714035,666.9841269841265,247.32341269840833,453.2162698412661,553.9888888888762,419.27103174603326,271.2460317460294,1231.3293650793694,Left,8
1334.4638888888971,2550.2900793650556,299.3107142857125,821.7484126984264,204.4972222222189,471.7281746031716,483.27341269841105,462.89841269841185,234.54960317459992,1334.2400793650797,Right,8
1464.8928571428617,2955.808333333337,437.66785714285425,742.6297619047609,280.9297619047606,524.43571428571,629.1083333333314,476.16309523809497,305.9892857142852,1397.375000000003,Left,9
1490.0956349206347,2898.3503968253954,365.05833333333163,915.4325396825557,228.3337301587262,547.1623015873001,545.4670634920499,518.8825396825372,256.5337301587265,1509.683730158729,Right,9
1647.9063492063422,3284.462301587307,495.4988095238057,823.1349206349271,316.923015873016,586.7111111111108,708.6456349206384,533.1003968253929,351.3623015873014,1553.2551587301607,Left,10
1664.8198412698284,3197.4436507936553,425.41666666666396,1002.9912698412878,252.56984126983664,613.955555555557,603.8936507936461,589.6507936507878,295.63650793650754,1680.622222222219,Right,10
