word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,affiliation,compound,pos,neg,neu,frequency,sentiment
states,japan,united,kingdom,india,south,korea,australia—encompass,well,half,Left,0.6,0.17,0.0,0.83,486,Positive
pen,krastev,holmes,right,reject,new,cold,remains,imperative,west,Left,-0.4,0.0,0.097,0.903,256,Negative
endeavored,boost,illiberal,candidates,trump,’,marine,pen,krastev,holmes,Left,0.4,0.101,0.0,0.899,762,Positive
came,vogue,1980s,ronald,reagan,thatcher,dominated,western,policy,ever,Left,0.0,0.0,0.0,1.0,3689,Neutral
candidates,trump,france,’,marine,krastev,holmes,right,reject,dawn,Left,-0.4,0.0,0.101,0.899,256,Negative
false,reality,neoliberal,economic,ideas,power,twilight,cold,weakened,united,Left,0.1,0.096,0.079,0.825,197,Positive
uses,nuclear,weapons,dominate,world,arbor,michigan,pluto,press,p,Left,-0.5,0.0,0.161,0.839,272,Negative
arms,1940s,president,obama,’,prague,speech,jazz,saxophonist,charlie,Left,0.0,0.0,0.0,1.0,3689,Neutral
think,easiest,way,settle,problems,simply,dropping,atom,bomb,colored,Left,-0.5,0.088,0.186,0.726,272,Negative
breonna,taylor,”,“,raychard,”,“,george,floyd,”,Left,0.0,0.0,0.0,1.0,3689,Neutral
zora,neale,hurston,life,letters,kaplan,new,york,doubleday,p,Left,0.0,0.0,0.0,1.0,3689,Neutral
she,could,fast,asleep,bed,self,defense,louisville,police,without,Left,0.1,0.057,0.0,0.943,197,Positive
nuclear,weapons,north,vietnam,see,riechmann,“,nixon,discussed,nuclear,Left,-0.4,0.0,0.108,0.892,256,Negative
swiss,us,shelter,systems,see,scarry,thinking,emergency,new,york,Left,-0.4,0.0,0.094,0.906,256,Negative
killings,various,racial,groups,see,hansen,cnn,“,forgotten,minority,Left,-0.8,0.0,0.218,0.782,93,Negative
secretary,defense,laird,nsa,kissinger,subject,review,us,contingency,plans,Left,0.1,0.057,0.0,0.943,197,Positive
poet,novelist,james,baldwin,playwright,hansberry,civil,rights,leader,rev,Left,0.0,0.0,0.0,1.0,3689,Neutral
july,presence,hispanic,families,noted,cramer,writes,“,officials,warn,Left,-0.1,0.0,0.055,0.945,152,Negative
account,shelter,see,garrett,graff,rock,story,government,’,secret,Left,0.0,0.0,0.0,1.0,3689,Neutral
’,brookings,institute,gathered,hear,five,person,panel,address,“,Left,0.0,0.0,0.0,1.0,3689,Neutral
