word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,affiliation,compound,pos,neg,neu,frequency,sentiment
united,states,japan,united,kingdom,india,south,korea,australia—encompass,well,half,global,Left,0.8,0.222,0.0,0.778,510,Positive
marine,pen,krastev,holmes,right,reject,new,cold,remains,imperative,west,defend,Left,-0.4,0.0,0.085,0.915,260,Negative
confusion,endeavored,boost,illiberal,candidates,trump,’,marine,pen,krastev,holmes,right,Left,0.1,0.085,0.069,0.846,225,Positive
fetishism,came,vogue,1980s,ronald,reagan,thatcher,dominated,western,policy,ever,since—in,Left,0.0,0.0,0.0,1.0,3153,Neutral
illiberal,candidates,trump,france,’,marine,krastev,holmes,right,reject,dawn,new,Left,-0.4,0.0,0.088,0.912,260,Negative
course,false,reality,neoliberal,economic,ideas,power,twilight,cold,weakened,united,states,Left,0.1,0.085,0.069,0.846,225,Positive
bomb,uses,nuclear,weapons,dominate,world,arbor,michigan,pluto,press,p,217f,Left,-0.8,0.0,0.226,0.774,120,Negative
nuclear,arms,1940s,president,obama,’,prague,speech,jazz,saxophonist,charlie,parker,Left,0.0,0.0,0.0,1.0,3153,Neutral
americans,think,easiest,way,settle,problems,simply,dropping,atom,bomb,colored,heads,Left,-0.5,0.078,0.165,0.756,285,Negative
“,breonna,taylor,”,“,raychard,”,“,george,floyd,”,“,Left,0.0,0.0,0.0,1.0,3153,Neutral
published,zora,neale,hurston,life,letters,kaplan,new,york,doubleday,p,cited,Left,0.0,0.0,0.0,1.0,3153,Neutral
patients,she,could,fast,asleep,bed,self,defense,louisville,police,without,warrant,Left,0.1,0.049,0.0,0.951,225,Positive
use,nuclear,weapons,north,vietnam,see,riechmann,“,nixon,discussed,nuclear,strike,Left,-0.5,0.0,0.14,0.86,285,Negative
contrast,swiss,us,shelter,systems,see,scarry,thinking,emergency,new,york,norton,Left,-0.4,0.0,0.082,0.918,260,Negative
enforcement,killings,various,racial,groups,see,hansen,cnn,“,forgotten,minority,police,Left,-0.8,0.0,0.192,0.808,120,Negative
memorandum,secretary,defense,laird,nsa,kissinger,subject,review,us,contingency,plans,washington,Left,0.1,0.049,0.0,0.951,225,Positive
rustin,poet,novelist,james,baldwin,playwright,hansberry,civil,rights,leader,rev,martin,Left,0.0,0.0,0.0,1.0,3153,Neutral
times,july,presence,hispanic,families,noted,cramer,writes,“,officials,warn,residents,Left,-0.1,0.0,0.048,0.952,175,Negative
detailed,account,shelter,see,garrett,graff,rock,story,government,’,secret,plan,Left,0.0,0.0,0.0,1.0,3153,Neutral
washington,’,brookings,institute,gathered,hear,five,person,panel,address,“,politics,Left,0.0,0.0,0.0,1.0,3153,Neutral
americans,horrible,aversiveness,injuries,novelist,anthropologist,neale,hurston,denounced,president,“,butcher,Left,-0.5,0.0,0.111,0.889,285,Negative
entailed,daily,basis,protecting,herself,patients,could,fast,asleep,bed,carry,self,Left,0.0,0.0,0.0,1.0,3153,Neutral
medical,technician,entailed,daily,basis,protecting,patients,she,could,fast,asleep,bed,Left,0.0,0.0,0.0,1.0,3153,Neutral
orthodoxy,she,hillary,clinton,campaign,’,policy,coordinator,advising,biden,campaign,she,Left,0.0,0.0,0.0,1.0,3153,Neutral
placed,guide,return,alliance,orthodoxy,she,clinton,campaign,’,asia,policy,coordinator,Left,0.0,0.0,0.0,1.0,3153,Neutral
united,states,”,various,cranky,academics,towers,years,made,similar,although,much,Left,0.4,0.091,0.0,0.909,747,Positive
prevent,genocide,—part,answer,always,alliances,rapp,hooper,’,new,book,shields,Left,0.0,0.038,0.0,0.962,3153,Neutral
prose,style,innate,brilliance,shine,every,attacks,iraq,global,financial,crisis,resurgence,Left,-0.5,0.103,0.185,0.712,285,Negative
’,alliances,continues,tradition,unwavering,support,presents,vigorous,historical,defense,alliance,system,Left,0.5,0.135,0.0,0.865,568,Positive
simplified,cold,lens,anxious,snub,close,sukarno,saw,territorial,integrity,plank,broader,Left,-0.3,0.076,0.14,0.785,291,Negative
president,sukarno,south,lawn,white,house,image,wikimedia,commonsa,new,book,reveals,Left,0.0,0.0,0.0,1.0,3153,Neutral
systematic,mass,murder,across,globe—from,southeast,south,america—in,fighting,communism,today,indonesia,Left,-0.8,0.0,0.205,0.795,120,Negative
national,police,total,considered,reliable,instrument,political,agenda,according,historian,jeremy,kuzmarov,Left,0.0,0.0,0.0,1.0,3153,Neutral
armies,police,forces,aided,united,states,loosely,organized,petty,gangsters,members,right,Left,0.2,0.086,0.055,0.859,347,Positive
believing,“,ignorant,”,ungovernable,planters,tilley,shown,fed,militant,workers,assassination,Left,-0.7,0.0,0.188,0.812,149,Negative
theorist,robert,meister,drawing,work,psychoanalyst,klein,calls,“,projective,identification,”,Left,0.0,0.0,0.0,1.0,3153,Neutral
united,states,trained,1950s,early,1960s,high,command,positions,though,army,predominated,Left,0.4,0.088,0.0,0.912,747,Positive
even,severe,secondary,sanctions,compel,states,whims,officials,regardless,whether,citizens,leaders,Left,-0.4,0.0,0.082,0.918,260,Negative
enormity,coronavirus,global,pandemic,seemed,finally,trump,administration,secretary,state,mike,pompeo,Left,0.0,0.0,0.0,1.0,3153,Neutral
glories,free,market,salve,problems,nothing,today,’,crises,show,profound,failure,Left,0.1,0.171,0.16,0.668,225,Positive
unable,access,critical,medicines,absolute,poverty,dramatically,inflation,affecting,basic,foodstuffs,skyrocketing,Left,-0.7,0.0,0.167,0.833,149,Negative
wikimediain,world,imperiled,global,pandemic,long,,,,,,,Left,0.0,0.0,0.0,1.0,3153,Neutral
“,launches,bloody,rescue,mission,southeast,servicemen,missing,action,vietnam,”,nearly,Left,-0.2,0.099,0.153,0.749,240,Negative
two,years,berlin,wall,came,full,ads,nation,’,major,newspapers,trump,Left,0.0,0.0,0.0,1.0,3153,Neutral
elected,marlboro,white,house,instead,fact,promises,made,regarding,arms,sales,return,Left,0.4,0.082,0.0,0.918,747,Positive
rambo,reagan,bigger,man—the,b,movie,reality,tv,personality,number,fifty,two,Left,0.1,0.044,0.0,0.956,225,Positive
walks,past,afghan,graveyard,–afghan,patrol,ghazni,province,afghanistan,image,flickr,armywashington,Left,-0.3,0.0,0.071,0.929,291,Negative
seem,reluctant,embrace,fundamental,strategic,facts,foundation,’,survey,afghan,people,longest,Left,0.1,0.073,0.064,0.863,225,Positive
unwarranted,optimism,may,may,result,deceit,gelb,richard,betts,show,postmortem,analysis,Left,0.1,0.101,0.087,0.812,225,Positive
winnable,troop,numbers,swelled,pivoted,counterterrorism,eradication,counterinsurgency,state,building,planners,learned,Left,0.4,0.088,0.0,0.912,747,Positive
incidental,michigan,’,oakland,county,executive,patterson,thought,apt,quite,recently,characterize,Left,0.0,0.0,0.0,1.0,3153,Neutral
historical,narrative,topographical,description,louisiana,west,takes,stock,land,’,bounty,grapes,Left,0.0,0.0,0.0,1.0,3153,Neutral
may,united,states,entered,world,editors,time,life,magazines,published,joint,statement,Left,0.4,0.088,0.0,0.912,747,Positive
elimination,sequestration,“,savages,”,represented,byrd,argues,integral,transit,development,american,Left,-0.7,0.0,0.188,0.812,149,Negative
closer,home,time,magazine,magnate,henry,suggested,even,interventionist,sentiment,ran,high,Left,0.0,0.0,0.0,1.0,3153,Neutral
practices,closer,home,decade,later,historian,black,recently,shown,engineers,department,interior—with,Left,0.0,0.0,0.0,1.0,3153,Neutral
world,”,warned,“,dozen,equivalents,harbor,may,simultaneously,possible,problem,therefore,Left,-0.6,0.0,0.156,0.844,242,Negative
sense,ever,since,political,theorist,aziz,noted,foundational,yet,unexamined,precept,within,Left,0.0,0.0,0.0,1.0,3153,Neutral
upon,violent,elimination,spring,two,members,tribe,allegedly,robbed,murdered,virginia,settler,Left,-0.9,0.0,0.229,0.771,62,Negative
military,forces,tense,stand,offs,thousands,supporters,blocking,construction,dakota,access,oil,Left,-0.3,0.083,0.143,0.774,291,Negative
