Affiliation,Word,Count,Window Size
Left Emotional,love,79,5
Left Emotional,mother,44,5
Left Emotional,wife,44,5
Left Emotional,film,40,5
Left Emotional,sex,33,5
Left Emotional,cosmopolitan,33,5
Left Emotional,writer,32,5
Left Emotional,sister,30,5
Left Emotional,movie,27,5
Left Emotional,morning,27,5
Left Political,party,225,5
Left Political,trump,131,5
Left Political,president,101,5
Left Political,young,100,5
Left Political,political,98,5
Left Political,national,94,5
Left Political,biden,75,5
Left Political,health,74,5
Left Political,right,72,5
Left Political,home,72,5
Right Emotional,love,65,5
Right Emotional,mother,53,5
Right Emotional,wife,47,5
Right Emotional,heritage,47,5
Right Emotional,center,45,5
Right Emotional,true,41,5
Right Emotional,foundation,39,5
Right Emotional,detail,38,5
Right Emotional,cage,37,5
Right Emotional,breakfast,37,5
Right Political,national,162,5
Right Political,president,128,5
Right Political,trump,128,5
Right Political,democrat,87,5
Right Political,young,86,5
Right Political,health,79,5
Right Political,biden,75,5
Right Political,court,74,5
Right Political,covid,72,5
Right Political,place,72,5
Left Emotional,love,100,6
Left Emotional,mother,50,6
Left Emotional,film,50,6
Left Emotional,wife,47,6
Left Emotional,writer,46,6
Left Emotional,sex,40,6
Left Emotional,season,40,6
Left Emotional,sister,36,6
Left Emotional,cosmopolitan,35,6
Left Emotional,movie,33,6
Left Political,party,244,6
Left Political,trump,163,6
Left Political,political,126,6
Left Political,young,124,6
Left Political,president,121,6
Left Political,national,118,6
Left Political,home,102,6
Left Political,biden,92,6
Left Political,health,88,6
Left Political,right,86,6
Right Emotional,mother,80,6
Right Emotional,love,68,6
Right Emotional,center,58,6
Right Emotional,lost,57,6
Right Emotional,archive,57,6
Right Emotional,brown,55,6
Right Emotional,hidden,54,6
Right Emotional,wife,53,6
Right Emotional,heritage,52,6
Right Emotional,true,44,6
Right Political,national,202,6
Right Political,trump,162,6
Right Political,president,152,6
Right Political,young,132,6
Right Political,security,110,6
Right Political,health,105,6
Right Political,democrat,95,6
Right Political,secretary,91,6
Right Political,court,90,6
Right Political,biden,90,6
Left Emotional,love,113,7
Left Emotional,mother,62,7
Left Emotional,film,61,7
Left Emotional,wife,52,7
Left Emotional,sex,49,7
Left Emotional,season,48,7
Left Emotional,writer,48,7
Left Emotional,cosmopolitan,45,7
Left Emotional,sister,43,7
Left Emotional,movie,41,7
Left Political,party,255,7
Left Political,trump,189,7
Left Political,political,152,7
Left Political,national,148,7
Left Political,young,140,7
Left Political,president,139,7
Left Political,home,125,7
Left Political,biden,117,7
Left Political,world,111,7
Left Political,right,105,7
Right Emotional,national,236,7
Right Emotional,trump,194,7
Right Emotional,president,182,7
Right Emotional,young,178,7
Right Emotional,security,126,7
Right Emotional,covid,116,7
Right Emotional,health,116,7
Right Emotional,court,112,7
Right Emotional,community,109,7
Right Emotional,biden,107,7
Right Political,national,236,7
Right Political,trump,194,7
Right Political,president,182,7
Right Political,young,178,7
Right Political,security,126,7
Right Political,covid,116,7
Right Political,health,116,7
Right Political,court,112,7
Right Political,community,109,7
Right Political,biden,107,7
Left Emotional,love,130,8
Left Emotional,film,72,8
Left Emotional,mother,70,8
Left Emotional,season,56,8
Left Emotional,wife,54,8
Left Emotional,sex,53,8
Left Emotional,writer,51,8
Left Emotional,cosmopolitan,50,8
Left Emotional,sister,47,8
Left Emotional,movie,46,8
Left Political,party,267,8
Left Political,trump,224,8
Left Political,political,186,8
Left Political,national,170,8
Left Political,president,161,8
Left Political,young,148,8
Left Political,biden,135,8
Left Political,home,134,8
Left Political,world,129,8
Left Political,work,124,8
Right Emotional,mother,106,8
Right Emotional,love,79,8
Right Emotional,center,79,8
Right Emotional,summer,79,8
