Negative,Positive,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Affiliation,Window Size
2456.8595238094117,4446.155952380943,710.7440476190585,1204.0369047619467,431.7750000000048,893.7833333333481,826.1892857142973,745.7773809523844,510.8488095238107,2298.8297619047644,Left,5
2285.3154761903857,4651.883333333264,624.0309523809551,1194.2142857143317,317.4952380952393,874.5880952381057,732.7833333333433,795.8607142857259,414.92857142857,2798.8999999999983,Right,5
3065.047222222185,5481.141269840998,865.338095238118,1448.9126984127438,545.2484126984084,1110.1246031746232,1024.4579365079624,912.6948412698594,629.2365079365059,2821.7984126984225,Left,6
2848.4071428571,5696.286904761583,782.8940476190627,1491.8630952381202,402.8559523809561,1092.4809523809686,894.0202380952616,966.4107142857401,528.1654761904733,3407.6154761904777,Right,6
3682.8984126984265,6530.512698412299,1039.904761904797,1735.880555555542,652.0698412698456,1320.1376984127144,1218.1460317460906,1086.4912698413143,728.9222222222269,3343.0365079365356,Left,7
3428.3809523809855,6801.317857142409,942.6607142857425,1792.5083333333232,487.80119047619587,1309.7928571428668,1073.567857142904,1156.4083333333876,639.7392857142854,3967.8226190476225,Right,7
4268.965476190623,7515.870238094777,1191.6321428571746,1999.5880952380817,758.7345238095329,1551.7273809523906,1412.3369047619526,1266.9285714286427,829.2702380952509,3831.946428571462,Left,8
3990.3658730159154,7764.370634920106,1097.3214285714598,2069.713492063507,571.1753968253907,1530.9337301587357,1238.7873015873674,1327.7646825397567,739.7325396825482,4517.83492063483,Right,8
4912.778571428506,8539.695238095264,1375.1904761905096,2262.965476190299,872.432142857149,1783.7190476190517,1616.578571428599,1456.1309523810403,954.7285714285921,4342.780952380928,Left,9
4594.792063492075,8883.787301587596,1252.8595238095547,2366.468253968002,649.1134920634934,1768.2932539682497,1414.2539682540316,1524.61468253973,851.4825396825576,5047.3349206347675,Right,9
5557.989285713988,9564.81309523862,1553.0345238095579,2531.9464285711806,982.7166666666702,2000.2488095238066,1815.046428571434,1636.1261904762605,1070.1607142857397,4828.917857142764,Left,10
5108.943650793454,9951.181746032644,1384.7785714286022,2635.222222221936,734.1031746031864,1991.7400793650702,1585.2817460317965,1702.5710317460598,958.0698412698694,5658.107936507696,Right,10
